# population=byteclasses cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:11:45
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
bc021	2	11	50	1e+09	maxspeed	2	40	0	40	0	0.0	PASS	0	0.006108	ALL:2
bc022	2	11	73	0	size	1	36	0	36	0	4.0	PASS	0	0.006006	RANGES:1
bc022	2	11	73	4	n1size	2	40	0	40	0	0.0	PASS	0	0.005590	ALL:2
bc022	2	11	73	16	mid	2	40	0	40	0	0.0	PASS	0	0.006451	ALL:2
bc022	2	11	73	64	n1speed	2	40	0	40	0	0.0	PASS	0	0.004046	ALL:2
bc022	2	11	73	256	speed	2	40	0	40	0	0.0	PASS	0	0.005804	ALL:2
bc022	2	11	73	1e+09	maxspeed	2	40	0	40	0	0.0	PASS	0	0.006008	ALL:2
bc023	3	16	52	0	size	1	32	0	32	0	3.0	PASS	0	0.005654	MASK64:1
bc023	3	16	52	4	n1size	1	32	0	32	0	3.0	PASS	0	0.003087	MASK64:1
bc023	3	16	52	16	mid	1	32	0	32	0	3.0	PASS	0	0.005849	MASK64:1
bc023	3	16	52	64	n1speed	3	56	0	56	0	0.0	PASS	0	0.005363	ALL:3
bc023	3	16	52	256	speed	3	56	0	56	0	0.0	PASS	0	0.005555	ALL:3
bc023	3	16	52	1e+09	maxspeed	3	56	0	56	0	0.0	PASS	0	0.003879	ALL:3
bc024	3	3	152	0	size	2	56	0	56	0	3.0	PASS	0	0.005764	ALL:1,MASK64:1
bc024	3	3	152	4	n1size	2	64	0	64	0	2.0	PASS	0	0.005781	ALL:1,CUBES:1
bc024	3	3	152	16	mid	2	64	0	64	0	2.0	PASS	0	0.005901	ALL:1,CUBES:1
bc024	3	3	152	64	n1speed	3	52	0	52	0	0.0	PASS	0	0.005762	ALL:3
bc024	3	3	152	256	speed	3	52	0	52	0	0.0	PASS	0	0.005838	ALL:3
bc024	3	3	152	1e+09	maxspeed	3	52	0	52	0	0.0	PASS	0	0.005770	ALL:3
bc025	4	253	256	0	size	1	56	28	84	28	12.0	PASS	0	0.005843	PAGE64:1
bc025	4	253	256	4	n1size	3	72	0	72	0	3.0	PASS	0	0.004854	ALL:2,MASK64:1
bc025	4	253	256	16	mid	4	52	0	52	0	0.0	PASS	0	0.005612	ALL:4
bc025	4	253	256	64	n1speed	4	52	0	52	0	0.0	PASS	0	0.004885	ALL:4
bc025	4	253	256	256	speed	4	52	0	52	0	0.0	PASS	0	0.004179	ALL:4
bc025	4	253	256	1e+09	maxspeed	4	52	0	52	0	0.0	PASS	0	0.005519	ALL:4
bc026	2	5	124	0	size	1	36	0	36	0	4.0	PASS	0	0.004002	RANGES:1
bc026	2	5	124	4	n1size	2	36	0	36	0	0.0	PASS	0	0.005615	ALL:2
bc026	2	5	124	16	mid	2	36	0	36	0	0.0	PASS	0	0.005592	ALL:2
