# cc=gcc rounds=11 load1_at_start=0.10 date=2026-09-11T15:29:14
set	regime	arm	round	ns_per_char	hits	chk
^L	ascii	lam0	4	2.3620	622224	326207544994
^L	ascii	lam16	4	2.9596	622224	326207544994
^L	ascii	lam256	4	2.9538	622224	326207544994
^L	ascii	refbs	5	14.1529	622224	326207544994
^L	ascii	bitmap1	5	1.4900	622224	326207544994
^L	ascii	lam0	5	2.3669	622224	326207544994
^L	ascii	lam16	5	2.9544	622224	326207544994
^L	ascii	lam256	5	2.9539	622224	326207544994
^L	ascii	refbs	6	14.2411	622224	326207544994
^L	ascii	bitmap1	6	1.4757	622224	326207544994
^L	ascii	lam0	6	2.3665	622224	326207544994
^L	ascii	lam16	6	2.9543	622224	326207544994
^L	ascii	lam256	6	2.9542	622224	326207544994
^L	ascii	refbs	7	14.2088	622224	326207544994
^L	ascii	bitmap1	7	1.4760	622224	326207544994
^L	ascii	lam0	7	2.3664	622224	326207544994
^L	ascii	lam16	7	2.9575	622224	326207544994
^L	ascii	lam256	7	2.9554	622224	326207544994
^L	ascii	refbs	8	14.1981	622224	326207544994
^L	ascii	bitmap1	8	1.4760	622224	326207544994
^L	ascii	lam0	8	2.3847	622224	326207544994
^L	ascii	lam16	8	2.9732	622224	326207544994
^L	ascii	lam256	8	2.9545	622224	326207544994
^L	ascii	refbs	9	14.1727	622224	326207544994
^L	ascii	bitmap1	9	1.4797	622224	326207544994
^L	ascii	lam0	9	2.3619	622224	326207544994
^L	ascii	lam16	9	2.9542	622224	326207544994
^L	ascii	lam256	9	2.9596	622224	326207544994
^L	ascii	refbs	10	14.1635	622224	326207544994
^L	ascii	bitmap1	10	1.4798	622224	326207544994
^L	ascii	lam0	10	2.3628	622224	326207544994
^L	ascii	lam16	10	2.9542	622224	326207544994
^L	ascii	lam256	10	2.9539	622224	326207544994
^L	full	refbs	0	12.4703	915689	480093378074
^L	full	bitmap1	0	1.7834	915689	480093378074
^L	full	lam0	0	5.4415	915689	480093378074
^L	full	lam16	0	6.0298	915689	480093378074
^L	full	lam256	0	4.9319	915689	480093378074
^L	full	refbs	1	12.4467	915689	480093378074
^L	full	bitmap1	1	1.7543	915689	480093378074
^L	full	lam0	1	5.4414	915689	480093378074
^L	full	lam16	1	6.0200	915689	480093378074
^L	full	lam256	1	4.9311	915689	480093378074
^L	full	refbs	2	12.3852	915689	480093378074
^L	full	bitmap1	2	1.7520	915689	480093378074
^L	full	lam0	2	5.4476	915689	480093378074
^L	full	lam16	2	6.0221	915689	480093378074
^L	full	lam256	2	4.9280	915689	480093378074
^L	full	refbs	3	12.5686	915689	480093378074
^L	full	bitmap1	3	1.7543	915689	480093378074
^L	full	lam0	3	5.4412	915689	480093378074
^L	full	lam16	3	6.0229	915689	480093378074
^L	full	lam256	3	4.9287	915689	480093378074
^L	full	refbs	4	12.4722	915689	480093378074
^L	full	bitmap1	4	1.7521	915689	480093378074
^L	full	lam0	4	5.4453	915689	480093378074
^L	full	lam16	4	6.0186	915689	480093378074
^L	full	lam256	4	4.9305	915689	480093378074
^L	full	refbs	5	12.4986	915689	480093378074
^L	full	bitmap1	5	1.7472	915689	480093378074
^L	full	lam0	5	5.4294	915689	480093378074
^L	full	lam16	5	6.0168	915689	480093378074
^L	full	lam256	5	4.9359	915689	480093378074
^L	full	refbs	6	12.4347	915689	480093378074
^L	full	bitmap1	6	1.7476	915689	480093378074
