# seed=1 cases=40 lams=0,16,256 cc=gcc-16 elapsed_s=201.9 date=2026-09-11T09:16:56
# EVERY row compares 1114112 code points (0..0x10FFFF)
# PASS=438 FAIL=0
case	genA	genB	op	lam	nA	nB	nC	verdict	detail
p025_compl_l256	comb	orbit	compl	256.0	270	2062	271	PASS	0
p026_union_l0	dense	sparse	union	0.0	2	407	389	PASS	0
p026_union_l16	dense	sparse	union	16.0	2	407	389	PASS	0
p026_union_l256	dense	sparse	union	256.0	2	407	389	PASS	0
p026_inter_l0	dense	sparse	inter	0.0	2	407	20	PASS	0
p026_inter_l16	dense	sparse	inter	16.0	2	407	20	PASS	0
p026_inter_l256	dense	sparse	inter	256.0	2	407	20	PASS	0
p026_diff_l0	dense	sparse	diff	0.0	2	407	22	PASS	0
p026_diff_l16	dense	sparse	diff	16.0	2	407	22	PASS	0
p026_diff_l256	dense	sparse	diff	256.0	2	407	22	PASS	0
p026_compl_l0	dense	sparse	compl	0.0	2	407	3	PASS	0
p026_compl_l16	dense	sparse	compl	16.0	2	407	3	PASS	0
p026_compl_l256	dense	sparse	compl	256.0	2	407	3	PASS	0
p027_union_l0	fold	dense	union	0.0	536	8	16	PASS	0
p027_union_l16	fold	dense	union	16.0	536	8	16	PASS	0
p027_union_l256	fold	dense	union	256.0	536	8	16	PASS	0
p027_inter_l0	fold	dense	inter	0.0	536	8	528	PASS	0
p027_inter_l16	fold	dense	inter	16.0	536	8	528	PASS	0
p027_inter_l256	fold	dense	inter	256.0	536	8	528	PASS	0
p027_diff_l0	fold	dense	diff	0.0	536	8	8	PASS	0
p027_diff_l16	fold	dense	diff	16.0	536	8	8	PASS	0
p027_diff_l256	fold	dense	diff	256.0	536	8	8	PASS	0
p027_compl_l0	fold	dense	compl	0.0	536	8	537	PASS	0
p027_compl_l16	fold	dense	compl	16.0	536	8	537	PASS	0
p027_compl_l256	fold	dense	compl	256.0	536	8	537	PASS	0
p028_union_l0	orbit	pathologic	union	0.0	1531	521	2025	PASS	0
p028_union_l16	orbit	pathologic	union	16.0	1531	521	2025	PASS	0
p028_union_l256	orbit	pathologic	union	256.0	1531	521	2025	PASS	0
p028_inter_l0	orbit	pathologic	inter	0.0	1531	521	9	PASS	0
p028_inter_l16	orbit	pathologic	inter	16.0	1531	521	9	PASS	0
p028_inter_l256	orbit	pathologic	inter	256.0	1531	521	9	PASS	0
p028_diff_l0	orbit	pathologic	diff	0.0	1531	521	1523	PASS	0
p028_diff_l16	orbit	pathologic	diff	16.0	1531	521	1523	PASS	0
p028_diff_l256	orbit	pathologic	diff	256.0	1531	521	1523	PASS	0
p028_compl_l0	orbit	pathologic	compl	0.0	1531	521	1532	PASS	0
p028_compl_l16	orbit	pathologic	compl	16.0	1531	521	1532	PASS	0
p028_compl_l256	orbit	pathologic	compl	256.0	1531	521	1532	PASS	0
p029_union_l0	pathologic	boundary	union	0.0	190	8	198	PASS	0
p029_union_l16	pathologic	boundary	union	16.0	190	8	198	PASS	0
p029_union_l256	pathologic	boundary	union	256.0	190	8	198	PASS	0
p029_diff_l0	pathologic	boundary	diff	0.0	190	8	190	PASS	0
p029_diff_l16	pathologic	boundary	diff	16.0	190	8	190	PASS	0
p029_diff_l256	pathologic	boundary	diff	256.0	190	8	190	PASS	0
p029_compl_l0	pathologic	boundary	compl	0.0	190	8	191	PASS	0
p029_compl_l16	pathologic	boundary	compl	16.0	190	8	191	PASS	0
p029_compl_l256	pathologic	boundary	compl	256.0	190	8	191	PASS	0
p030_union_l0	random	fold	union	0.0	58	170	228	PASS	0
p030_union_l16	random	fold	union	16.0	58	170	228	PASS	0
p030_union_l256	random	fold	union	256.0	58	170	228	PASS	0
p030_diff_l0	random	fold	diff	0.0	58	170	58	PASS	0
p030_diff_l16	random	fold	diff	16.0	58	170	58	PASS	0
p030_diff_l256	random	fold	diff	256.0	58	170	58	PASS	0
p030_compl_l0	random	fold	compl	0.0	58	170	59	PASS	0
