# population=uprops cc=gcc-16 cflags=-O2 -std=gnu11 -Wall -Wextra dp=c date=2026-09-11T09:05:22
set	intervals	members	span	lam	policy	sections	text	rodata	total	model_ro	model_ops	verify	mismatches	discovery_s	forms
KANA	22	375	110179	16	mid	14	404	0	404	0	6.0	PASS	0	0.005260	ALL:12,MASK64:2
KANA	22	375	110179	256	speed	9	280	107	387	107	9.0	PASS	0	0.005436	ALL:7,BITMAP:1,MASK64:1
CF	21	170	917459	0	size	3	324	0	324	0	42.0	PASS	0	0.005746	RANGES:3
CF	21	170	917459	16	mid	1	116	168	284	168	22.0	PASS	0	0.005555	BSEARCH:1
CF	21	170	917459	256	speed	10	300	1017	1317	1017	6.0	PASS	0	0.005668	ALL:9,BITMAP:1
HANG	21	11775	61149	0	size	3	324	0	324	0	42.0	PASS	0	0.005265	RANGES:3
HANG	21	11775	61149	16	mid	13	384	0	384	0	6.0	PASS	0	0.005947	ALL:11,MASK64:2
HANG	21	11775	61149	256	speed	1	72	1068	1140	1068	12.0	PASS	0	0.005480	PAGE64:1
KNDA	21	107	40677	0	size	3	248	0	248	0	42.0	PASS	0	0.006010	RANGES:3
KNDA	21	107	40677	16	mid	5	168	15	183	15	9.0	PASS	0	0.005383	ALL:3,BITMAP:1,MASK64:1
KNDA	21	107	40677	256	speed	2	84	629	713	629	6.0	PASS	0	0.005745	ALL:1,BITMAP:1
SC	21	63	126093	0	size	3	292	0	292	0	42.0	PASS	0	0.005451	RANGES:3
SC	21	63	126093	16	mid	1	116	168	284	168	22.0	PASS	0	0.005968	BSEARCH:1
SC	21	63	126093	256	speed	3	128	1304	1432	1304	12.0	PASS	0	0.005458	ALL:2,PAGE64:1
PD	20	27	69249	0	size	3	296	0	296	0	40.0	PASS	0	0.007282	RANGES:3
PD	20	27	69249	16	mid	15	392	0	392	0	6.0	PASS	0	0.005531	ALL:13,MASK64:2
PD	20	27	69249	256	speed	1	68	1195	1263	1195	12.0	PASS	0	0.006259	PAGE64:1
GURU	19	94	40681	0	size	3	184	0	184	0	23.0	PASS	0	0.005644	MASK64:1,RANGES:2
GURU	19	94	40681	16	mid	2	80	37	117	37	6.0	PASS	0	0.006146	ALL:1,BITMAP:1
GURU	19	94	40681	256	speed	2	80	37	117	37	6.0	PASS	0	0.005502	ALL:1,BITMAP:1
SYRC	19	119	6904	0	size	3	228	0	228	0	38.0	PASS	0	0.005613	RANGES:3
